,user_id,movie_id,rating
2,45940958,30395843,5
3,45940958,1292272,5
4,45940958,30327842,5
5,45940958,33464883,3
6,45940958,30295905,4
7,45940958,1299624,5
8,45940958,1308162,4
9,45940958,26607693,4
10,45940958,30318116,3
11,iisakura,1578714,2
12,iisakura,3434070,1
13,iisakura,1292289,5
14,iisakura,4170301,4
15,iisakura,1306770,5
16,iisakura,2070308,5
17,iisakura,3718927,5
18,iisakura,4920528,4
19,iisakura,4305436,2
20,iisakura,4727477,3
21,iisakura,30318116,3
22,phoenix43,26793852,4
23,phoenix43,25837262,3
24,phoenix43,25980443,4
25,phoenix43,26766760,2
26,phoenix43,1548765,5
27,phoenix43,25884125,5
28,phoenix43,1302606,4
29,phoenix43,26322792,2
30,phoenix43,26259635,4
31,phoenix43,1308162,5
32,phoenix43,30318116,3
33,cabaret,21339377,4
34,cabaret,20471804,4
35,cabaret,11540884,5
36,cabaret,10543625,4
37,cabaret,10744409,5
38,cabaret,10744409,5
39,cabaret,7046520,4
40,cabaret,5998128,5
41,cabaret,3143676,5
42,cabaret,4883258,3
43,cabaret,30318116,5
44,wenzel,30318116,4
45,68942603,33420285,3
46,35711522,30318116,4
47,35711522,25887288,3
48,35711522,26931786,4
49,35711522,6390825,4
50,35711522,26781703,4
51,35711522,2158490,3
52,35711522,25821634,4
53,35711522,26799731,5
54,35711522,26378579,3
55,35711522,26926321,4
56,35711522,33420285,4
57,162549119,33420285,4
58,56080154,33420285,5
59,54150368,30257175,5
60,54150368,26282613,5
61,54150368,26282613,5
62,54150368,21360417,5
63,54150368,3707070,5
64,54150368,4826419,5
65,54150368,5322596,5
66,54150368,1305725,4
67,54150368,2230906,3
68,54150368,33420285,4
69,147781046,20515394,4
70,147781046,1889243,5
71,147781046,1291571,5
72,147781046,30314127,3
73,pirealwei,6966372,4
74,pirealwei,25846858,4
75,pirealwei,26022253,4
76,pirealwei,7065211,4
77,pirealwei,26220759,4
78,pirealwei,25760615,2
79,pirealwei,30314127,3
80,34617683,10944630,4
81,34617683,26735086,2
82,34617683,27618923,5
83,34617683,3026572,3
84,34617683,26696879,3
85,34617683,26337866,4
86,34617683,4214591,2
87,34617683,11589036,1
